Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,,,,,International Atomic Energy Agency,,,,,,,
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,NASA Goddard Space Flight Center,Greenbelt MD,1946,,John C. Mather,USA,Roanoke VA,,,USA,M,
2007,Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Cardiff University,Cardiff,1941,,Sir Martin J. Evans,United Kingdom,Stroud,,,United Kingdom,M,
2007,Physics,for the discovery of Giant Magnetoresistance,Universit&eacute; Paris-Sud,Orsay,1938,,Albert Fert,France,Carcassonne,,,France,M,
2007,Physics,for the discovery of Giant Magnetoresistance,Forschungszentrum J&uuml;lich,JÅlich,1939,2018,Peter GrÅnberg,Czech Republic,Plzen,Germany,JÅlich,Germany,M,79
1968,Chemistry,for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes,Yale University,New Haven CT,1903,1976,Lars Onsager,Norway,Oslo,USA,Coral Gables FL,USA,M,73
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes,University of California,Berkeley CA,1936,,Yuan T. Lee,Taiwan,Hsinchu,,,USA,M,
1989,Chemistry,for their discovery of catalytic properties of RNA,Yale University,New Haven CT,1939,2022,Sidney Altman,Canada,Montreal,USA,Rockleigh NJ,USA,M,83
1995,Chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,Max-Planck-Institut fÅr Chemie,Mainz,1933,2021,Paul J. Crutzen,Netherlands,Amsterdam,Germany,Mainz,Germany,M,88
1902,Medicine,for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it,University College,Liverpool,1857,1932,Ronald Ross,India,Almora,United Kingdom,Putney Heath,United Kingdom,M,75
1923,Medicine,for the discovery of insulin,University of Toronto,Toronto,1891,1941,Frederick G. Banting,Canada,Alliston,Canada,Newfoundland,Canada,M,50
1967,Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,Karolinska Institutet,Stockholm,1900,1991,Ragnar Granit,Finland,Helsinki,Sweden,Stockholm,Sweden,M,91
1968,Medicine,for their interpretation of the genetic code and its function in protein synthesis,National Institutes of Health,Bethesda MD,1927,2010,Marshall W. Nirenberg,USA,New York NY,USA,New York NY,USA,M,83
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Princeton University,Princeton NJ,1923,2015,Val Fitch,USA,Merriman NE,USA,Princeton NJ,USA,M,92
1982,Physics,for his theory for critical phenomena in connection with phase transitions,Cornell University,Ithaca NY,1936,2013,Kenneth G. Wilson,USA,Waltham MA,USA,Saco ME,USA,M,77
1989,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,Harvard University,Cambridge MA,1915,2011,Norman F. Ramsey,USA,Washington D.C.,USA,Wayland MA,USA,M,96
1996,Physics,for their discovery of superfluidity in helium-3,Stanford University,Stanford CA,1945,,Douglas D. Osheroff,USA,Aberdeen WA,,,USA,M,
1927,Chemistry,for his investigations of the constitution of the bile acids and related substances,Munich University,Munich,1877,1957,Heinrich Wieland,Germany,Pforzheim,Germany,Munich,Germany,M,80
1974,Peace,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,,,1901,1975,Eisaku Sato,Japan,Tabuse,Japan,Tokyo,,M,74
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,,,1913,1992,Menachem Begin,Belarus,Brest Litovsk,Israel,Tel Aviv,,M,79
1961,Literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,,,1892,1975,Ivo Andric,Bosnia and Herzegovina,Dolac,Serbia,Belgrade,,M,83
1969,Economics,for having developed and applied dynamic models for the analysis of economic processes,University of Oslo,Oslo,1895,1973,Ragnar Frisch,Norway,Oslo,Norway,Oslo,Norway,M,78
1975,Economics,for their contributions to the theory of optimum allocation of resources,Academy of Sciences,Moscow,1912,1986,Leonid Vitaliyevich Kantorovich,Russia,St. Petersburg,Russia,Moscow,Russia,M,74
1975,Economics,for their contributions to the theory of optimum allocation of resources,Yale University,New Haven CT,1910,1985,Tjalling C. Koopmans,Netherlands,'s Graveland,USA,New Haven CT,USA,M,75
1994,Economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,Rheinische Friedrich-Wilhelms-UniversitÑt,Bonn,1930,2016,Reinhard Selten,Poland,Wroclaw,Poland,Poznan,Germany,M,86
2000,Literature,for an ouvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama,,,1940,,Xingjian Gao,China,Ganzhou,,,,M,
2016,Medicine,for his discoveries of mechanisms for autophagy,Tokyo Institute of Technology,Tokyo,1945,,Yoshinori Ohsumi,Japan,Fukuoka,,,Japan,M,
2020,Chemistry,for the development of a method for genome editing,Max Planck Unit for the Science of Pathogens,Berlin,1968,,Emmanuelle Charpentier,France,Juvisy-sur-Orge,,,Germany,F,
2022,Medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,Max Planck Institute for Evolutionary Anthropology,Leipzig,1955,,Svante PÑÑbo,Sweden,Stockholm,,,Germany,M,
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),University of California,Los Angeles CA,1918,2018,Paul D. Boyer,USA,Provo UT,USA,Los Angeles CA,USA,M,100
1901,Medicine,for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths,Marburg University,Marburg,1854,1917,Emil von Behring,Poland,Lawice,Germany,Marburg,Germany,M,63
1929,Medicine,for his discovery of the growth-stimulating vitamins,University of Cambridge,Cambridge,1861,1947,Sir Frederick Hopkins,United Kingdom,Eastbourne,United Kingdom,Cambridge,United Kingdom,M,86
1946,Medicine,for the discovery of the production of mutations by means of X-ray irradiation,Indiana University,Bloomington IN,1890,1967,Hermann J. Muller,USA,New York NY,USA,Indianapolis IN,USA,M,77
1949,Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,University of Zurich,Zurich,1881,1973,Walter Hess,Switzerland,Frauenfeld,Switzerland,Ascona,Switzerland,M,92
1959,Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,New York University College of Medicine,New York NY,1905,1993,Severo Ochoa,Spain,Luarca,Spain,Madrid,USA,M,88
1964,Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Max-Planck-Institut fÅr Zellchemie,Munich,1911,1979,Feodor Lynen,Germany,Munich,Germany,Munich,Germany,M,68
1975,Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Massachusetts Institute of Technology (MIT),Cambridge MA,1938,,David Baltimore,USA,New York NY,,,USA,M,
2010,Economics,for their analysis of markets with search frictions,Massachusetts Institute of Technology (MIT),Cambridge MA,1940,,Peter A. Diamond,USA,New York NY,,,USA,M,
2004,Economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Carnegie Mellon University,Pittsburgh PA,1943,,Finn E. Kydland,Norway,Gjesdal,,,USA,M,
2007,Peace,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,,,1948,,Al Gore,USA,Washington D.C.,,,,M,
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,London University,London,1892,1975,George Paget Thomson,United Kingdom,Cambridge,United Kingdom,Cambridge,United Kingdom,M,83
1945,Physics,for the discovery of the Exclusion Principle also called the Pauli Principle,Princeton University,Princeton NJ,1900,1958,Wolfgang Pauli,Austria,Vienna,Switzerland,Zurich,USA,M,58
1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Bristol University,Bristol,1903,1969,Cecil Powell,United Kingdom,Tonbridge,Italy,,United Kingdom,M,66
1954,Physics,for the coincidence method and his discoveries made therewith,University of Heidelberg,Heidelberg,1891,1957,Walther Bothe,Germany,Oranienburg,Germany,Heidelberg,Germany,M,66
1974,Physics,for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars,University of Cambridge,Cambridge,1918,1984,Martin Ryle,United Kingdom,Brighton,United Kingdom,Cambridge,United Kingdom,M,66
1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Stockholm University,Stockholm,1859,1927,Svante Arrhenius,Sweden,Vik,Sweden,Stockholm,Sweden,M,68
1914,Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Harvard University,Cambridge MA,1868,1928,Theodore W. Richards,USA,Germantown PA,USA,Cambridge MA,USA,M,60
1930,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,Technische Hochschule (Institute of Technology),Munich,1881,1945,Hans Fischer,Germany,Hoechst,Germany,Munich,Germany,M,64
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,University of Heidelberg,Heidelberg,1874,1940,Carl Bosch,Germany,Cologne,Germany,Heidelberg,Germany,M,66
1934,Chemistry,for his discovery of heavy hydrogen,Columbia University,New York NY,1893,1981,Harold C. Urey,USA,Walkerton IN,USA,La Jolla CA,USA,M,88
2008,Medicine,for their discovery of human immunodeficiency virus,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,1947,,Franáoise BarrÇ-Sinoussi,France,Paris,,,France,F,
2008,Peace,for his important efforts on several continents and over more than three decades to resolve international conflicts,,,1937,,Martti Ahtisaari,Finland,Vyborg,,,,M,
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,University of Manchester,Manchester,1958,,Andre Geim,Russia,Sochi,,,United Kingdom,M,
2011,Chemistry,for the discovery of quasicrystals,Technion - Israel Institute of Technology,Haifa,1941,,Dan Shechtman,Israel,Tel Aviv,,,Israel,M,
2013,Economics,for their empirical analysis of asset prices,University of Chicago,Chicago IL,1952,,Lars Peter Hansen,USA,Urbana IL,,,USA,M,
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,Scripps Research,La Jolla CA,1941,,Barry Sharpless,USA,Philadelphia PA,,,USA,M,
2003,Peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,,,1947,,Shirin Ebadi,Iran,Hamadan,,,,F,
2005,Chemistry,for the development of the metathesis method in organic synthesis,California Institute of Technology (Caltech),Pasadena CA,1942,2021,Robert H. Grubbs,USA,Possum Trot KY,USA,Duarte CA,USA,M,79
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,,,1942,,Mohamed ElBaradei,Egypt,Cairo,,,,M,
2005,Economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,University of Maryland Department of Economics and School of Public Policy,College Park MD,1921,2016,Thomas C. Schelling,USA,Oakland CA,USA,Bethesda MD,USA,M,95
